Time (Sec);S20;S22;S23;S24;S25;S26;S27;S28;S29;S32;S33;S34;S35;S36;S37;S39;S42;S43;
0.0;100.0;19160.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.02666666666666667;100.0;19160.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.02666666666666667;100.0;19160.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.039608000000000004;99.9958816;19160.0;99.9958816;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.04928133333333334;99.9887776;19160.0;99.9887776;99.996568;99.996568;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.05895466666666667;99.9887776;19160.0;99.9887776;99.989464;99.989464;99.996568;100.0;99.996568;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.068628;99.9887776;19160.0;99.9887776;99.989464;99.989464;99.989464;99.996568;99.989464;99.996568;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.07830133333333333;99.9887776;19160.0;99.9887776;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.996568;99.996568;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.08797466666666667;99.9887776;19160.0;99.9887776;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.996568;99.996568;100.0;100.0;100.0;100.0;100.0;
0.09764800000000001;99.9887776;19160.0;99.9887776;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.996568;100.0;99.996568;100.0;100.0;
0.10732133333333335;99.9887776;19160.0;99.9887776;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.996568;99.989464;99.996568;100.0;
0.11699466666666669;99.9887776;19160.0;99.9887776;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.99313599999999;
0.1266666666666667;99.9887776;19160.0;99.9887776;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.986032;
0.2266666666666667;99.9887776;19160.0;99.9887776;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.986032;99.986032;
0.3266666666666667;99.9887776;19160.0;99.9887776;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.986032;99.986032;
0.42666666666666675;99.9887776;19160.0;99.9887776;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.986032;99.986032;
0.5266666666666667;99.9887776;19160.0;99.9887776;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.986032;99.986032;
0.6266666666666667;99.9887776;19160.0;99.9887776;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.986032;99.986032;
0.7266666666666667;99.9887776;19160.0;99.9887776;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.986032;99.986032;
